,Country/Region,Population,confirmed per,mortality rate,recover rate
0,Afghanistan,39009447.0,0.0010178617046845656,0.037106133446748915,0.834590131628556
1,Albania,2877470.0,0.005295469824378902,0.027381609885196653,0.6084732398902977
2,Algeria,43926079.0,0.0012053318030047708,0.033895542071765206,0.7013353128214095
3,Andorra,77278.0,0.03511492418425828,0.020903928532756057,0.665602820100934
4,Angola,32956300.0,0.00018896066744277862,0.0345983764283845,0.43165446668767227
5,Antigua and Barbuda,98010.0,0.0011240349624188008,0.027270646703559595,0.8835505777904183
6,Argentina,45236884.0,0.0193441386359758,0.026575483016307917,0.8018452517680245
7,Armenia,2963811.0,0.018933487249280664,0.01810786282786755,0.818960728262732
8,Australia,25528864.0,0.00013346358111003727,0.020247191736832263,0.9384488433757903
9,Austria,9011577.0,0.006004837505750165,0.01573285464969727,0.7884888210601315
10,Azerbaijan,10148243.0,0.004133107354423596,0.014482825642937089,0.9328334843332322
11,Bahamas,393616.0,0.012432449674584142,0.021492530637105836,0.5616429350259575
12,Bahrain,1706669.0,0.043862212167548466,0.0036497218735581233,0.9384252258523547
13,Bangladesh,164851401.0,0.002284488723675855,0.014558303603575622,0.7711628380575665
14,Barbados,287411.0,0.000718096693894419,0.03397773645410219,0.9024406716244111
15,Belarus,9449001.0,0.008774725379845857,0.010683397019907106,0.9270152477371977
16,Belgium,11594739.0,0.013748515119179867,0.06602929064493673,0.13061899244481245
17,Belize,398312.0,0.006075778674896955,0.01457566937098375,0.6127786015232625
18,Benin,12151976.0,0.00019878340042073084,0.016981024165954643,0.8569479710839576
19,Bhutan,772443.0,0.00039528267242156813,0.0,0.8814217809832378
20,Bolivia,11688459.0,0.011816047683350634,0.059782487246747985,0.7270268319737795
21,Bosnia and Herzegovina,3278650.0,0.009237050479787583,0.030553837516380022,0.7620119212354863
22,Botswana,2356075.0,0.0015389295049322849,0.00514237546981934,0.23103009503596056
23,Brazil,212710692.0,0.0008788346025450629,0.026269823110753505,0.8744740918291336
