,Country/Region,Population,confirmed per,mortality rate,recover rate
126,Poland,37842302.0,0.0032802400164063305,0.02434974157145857,0.6530270013512507
127,Portugal,10193593.0,0.008429150872840747,0.02418891553637284,0.6159414571246623
128,Qatar,2807805.0,0.04547215509782355,0.00171346555611487,0.9762708604028862
129,Romania,19224023.0,0.007900187639646958,0.03531787304511461,0.7676942104319466
130,Russia,145940924.0,0.00010544116736053839,0.014138604188369203,0.7839026197947104
131,Rwanda,12981546.0,0.0003775016901342534,0.006288994713065567,0.7719323572089377
132,Saint Kitts and Nevis,53237.0,0.0003568946409452074,0.0,0.9444444444444444
133,Saint Lucia,183712.0,0.00015755336855754898,0.0,0.937486582213362
134,San Marino,33938.0,0.02184866521303553,0.05665246396574002,0.919743916105097
135,Sao Tome and Principe,219544.0,0.004199613744852969,0.01627023616990298,0.9667156082540603
136,Saudi Arabia,34865919.0,0.009714306461339,0.014764528804020429,0.9578004862222527
137,Senegal,16783877.0,0.000907087465217032,0.020621381464559392,0.8671394493728909
138,Serbia,8733665.0,0.003969823792315267,0.021985275319235068,0.0
139,Seychelles,98408.0,0.0014982973380664622,0.0,0.9781635470979104
140,Sierra Leone,7992169.0,0.0002869475524520732,0.03151917087267026,0.7525482658374316
141,Singapore,5854932.0,0.009881412798645654,0.00047340137620212515,0.9968737661724758
142,Slovakia,5459915.0,0.0033929811890640953,0.003504456637473671,0.3264170603849303
143,Slovenia,2078968.0,0.0040994164198561766,0.02040049026101068,0.5964132820996535
144,Somalia,15933012.0,0.00023713170003400626,0.026220860762030382,0.8068858055334673
145,South Africa,59381566.0,0.01161299881440573,0.025537353876282944,0.9009605529312208
146,South Sudan,11206572.0,0.0002467897111325986,0.019075870595652883,0.46653236388580577
147,Spain,46756648.0,0.0009195929385984508,0.03275095963978848,0.18205922963004345
148,Sri Lanka,21422362.0,0.00020965890170695882,0.002984880659265056,0.757518244565346
149,Sudan,43943536.0,0.0003111467608999168,0.06114298462598796,0.49470233015572085
150,Suriname,587154.0,0.008547256010442839,0.021299855578889786,0.9608004980149829
151,Sweden,10105596.0,0.0004630725727235026,0.05217948137924384,0.0
152,Switzerland,8660952.0,0.007189651001670742,0.03403252800537499,0.7813539309385427
153,Syria,17539600.0,0.0002650731931046191,0.047589441735424946,0.27530946500013065
154,Taiwan,23821199.0,2.2057850423248822e-05,0.013324128831681412,0.9279737744036561
155,Tajikistan,9557468.0,0.001062583846591075,0.00774195594115429,0.8881246650927387
156,Tanzania,59886383.0,8.499427991835805e-06,0.041257367387033415,0.3595284872298625
157,Thailand,69817894.0,5.202502638904831e-05,0.016244759427308807,0.9458979875694354
158,Timor-Leste,1320812.0,2.1493512240113583e-05,0.0,0.9865900383141759
159,Togo,8296582.0,0.00023235806959754967,0.025606890827879345,0.7468754572530439
160,Trinidad and Tobago,1399950.0,0.0035579445297649515,0.017521351555523885,0.6334040734428993
161,Tunisia,11830801.0,0.0024347416919990833,0.014641136677883039,0.18521046878868133
162,Turkey,84428331.0,0.003948203384740867,0.026275290994079933,0.8772684648600538
163,US,331198130.0,7.112330893597933e-06,inf,inf
164,Uganda,45867852.0,0.0002076145474031209,0.009276537848922399,0.6068695971503894
165,Ukraine,43705858.0,0.0002209336480754083,0.019596853124373276,0.45843818578427625
166,United Kingdom,67922029.0,0.0005768845681917187,0.035128418465285104,0.6247161432238105
167,Uruguay,3474956.0,0.0006545086869844939,0.021860086774856177,0.850845255634086
168,Uzbekistan,33516027.0,0.0018023118710738994,0.008262382914857362,0.9473793820060877
169,Venezuela,28427499.0,0.002880338975065423,0.008387243125577279,0.8942569023240475
170,Vietnam,97425470.0,1.137678770129504e-05,0.031581212344628226,0.9240829228594184
171,Western Sahara,598682.0,1.670335837723533e-05,0.10000000000000003,0.8000000000000003
172,Yemen,29886897.0,6.855289571658553e-05,0.2896756378008896,0.6470557164860004
173,Zambia,18430129.0,0.0008330742919198594,0.02207466763739686,0.944980477259885
174,Zimbabwe,14883803.0,0.0005364593683184033,0.02874503861738435,0.8630695780966663
